bill_length_mm,flipper_length_mm,body_mass_g,bill_ratio,species,island,sex
36.5,182.0,3150.0,2.0277777777777777,Adelie,Dream,female
40.8,195.0,3900.0,2.217391304347826,Adelie,Dream,male
36.0,186.0,3100.0,1.945945945945946,Adelie,Dream,female
44.1,196.0,4400.0,2.238578680203046,Adelie,Dream,male
37.0,185.0,3000.0,2.1893491124260356,Adelie,Dream,female
39.6,190.0,4600.0,2.106382978723404,Adelie,Dream,male
41.1,182.0,3425.0,2.1631578947368424,Adelie,Dream,male
36.0,190.0,3450.0,2.011173184357542,Adelie,Dream,female
42.3,191.0,4150.0,1.9952830188679245,Adelie,Dream,male
39.6,186.0,3500.0,2.2372881355932206,Adelie,Biscoe,female
40.1,188.0,4300.0,2.121693121693122,Adelie,Biscoe,male
35.0,190.0,3450.0,1.9553072625698324,Adelie,Biscoe,female
42.0,200.0,4050.0,2.1538461538461537,Adelie,Biscoe,male
34.5,187.0,2900.0,1.9060773480662982,Adelie,Biscoe,female
41.4,191.0,3700.0,2.225806451612903,Adelie,Biscoe,male
39.0,186.0,3550.0,2.2285714285714286,Adelie,Biscoe,female
40.6,193.0,3800.0,2.1595744680851063,Adelie,Biscoe,male
36.5,181.0,2850.0,2.1987951807228914,Adelie,Biscoe,female
37.6,194.0,3750.0,1.9685863874345548,Adelie,Biscoe,male
35.7,185.0,3150.0,2.112426035502959,Adelie,Biscoe,female
41.3,195.0,4400.0,1.9573459715639807,Adelie,Biscoe,male
37.6,185.0,3600.0,2.211764705882353,Adelie,Biscoe,female
41.1,192.0,4050.0,2.258241758241758,Adelie,Biscoe,male
36.4,184.0,2850.0,2.1286549707602336,Adelie,Biscoe,female
41.6,192.0,3950.0,2.3111111111111113,Adelie,Biscoe,male
35.5,195.0,3350.0,2.191358024691358,Adelie,Biscoe,female
41.1,188.0,4100.0,2.1518324607329844,Adelie,Biscoe,male
35.9,190.0,3050.0,2.1626506024096384,Adelie,Torgersen,female
41.8,198.0,4450.0,2.154639175257732,Adelie,Torgersen,male
33.5,190.0,3600.0,1.763157894736842,Adelie,Torgersen,female
39.7,190.0,3900.0,2.1576086956521743,Adelie,Torgersen,male
39.6,196.0,3550.0,2.302325581395349,Adelie,Torgersen,female
45.8,197.0,4150.0,2.4232804232804233,Adelie,Torgersen,male
35.5,190.0,3700.0,2.0285714285714285,Adelie,Torgersen,female
42.8,195.0,4250.0,2.3135135135135134,Adelie,Torgersen,male
40.9,191.0,3700.0,2.4345238095238093,Adelie,Torgersen,female
37.2,184.0,3900.0,1.9175257731958766,Adelie,Torgersen,male
36.2,187.0,3550.0,2.248447204968944,Adelie,Torgersen,female
42.1,195.0,4000.0,2.2041884816753927,Adelie,Torgersen,male
34.6,189.0,3200.0,2.011627906976744,Adelie,Torgersen,female
42.9,196.0,4700.0,2.4374999999999996,Adelie,Torgersen,male
36.7,187.0,3800.0,1.952127659574468,Adelie,Torgersen,female
35.1,193.0,4200.0,1.8092783505154642,Adelie,Torgersen,male
37.3,191.0,3350.0,2.095505617977528,Adelie,Dream,female
41.3,194.0,3550.0,2.0344827586206895,Adelie,Dream,male
36.3,190.0,3800.0,1.8615384615384614,Adelie,Dream,male
36.9,189.0,3500.0,1.9838709677419353,Adelie,Dream,female
38.3,189.0,3950.0,1.9947916666666665,Adelie,Dream,male
38.9,190.0,3600.0,2.0691489361702127,Adelie,Dream,female
35.7,202.0,3550.0,1.9833333333333334,Adelie,Dream,female
41.1,205.0,4300.0,2.270718232044199,Adelie,Dream,male
34.0,185.0,3400.0,1.9883040935672514,Adelie,Dream,female
39.6,186.0,4450.0,2.187845303867403,Adelie,Dream,male
36.2,187.0,3300.0,2.092485549132948,Adelie,Dream,female
40.8,208.0,4300.0,2.1587301587301586,Adelie,Dream,male
38.1,190.0,3700.0,2.0483870967741935,Adelie,Dream,female
40.3,196.0,4350.0,2.1783783783783783,Adelie,Dream,male
33.1,178.0,2900.0,2.0559006211180124,Adelie,Dream,female
43.2,192.0,4100.0,2.3351351351351353,Adelie,Dream,male
35.0,192.0,3725.0,1.9553072625698324,Adelie,Biscoe,female
41.0,203.0,4725.0,2.05,Adelie,Biscoe,male
37.7,183.0,3075.0,2.35625,Adelie,Biscoe,female
37.8,190.0,4250.0,1.89,Adelie,Biscoe,male
37.9,193.0,2925.0,2.0376344086021505,Adelie,Biscoe,female
39.7,184.0,3550.0,2.100529100529101,Adelie,Biscoe,male
38.6,199.0,3750.0,2.244186046511628,Adelie,Biscoe,female
38.2,190.0,3900.0,1.9100000000000001,Adelie,Biscoe,male
38.1,181.0,3175.0,2.2411764705882353,Adelie,Biscoe,female
43.2,197.0,4775.0,2.2736842105263158,Adelie,Biscoe,male
38.1,198.0,3825.0,2.309090909090909,Adelie,Biscoe,female
45.6,191.0,4600.0,2.2463054187192117,Adelie,Biscoe,male
39.7,193.0,3200.0,2.2429378531073447,Adelie,Biscoe,female
42.2,197.0,4275.0,2.1641025641025644,Adelie,Biscoe,male
39.6,191.0,3900.0,1.9130434782608696,Adelie,Biscoe,female
42.7,196.0,4075.0,2.3333333333333335,Adelie,Biscoe,male
38.6,188.0,2900.0,2.2705882352941176,Adelie,Torgersen,female
37.3,199.0,3775.0,1.819512195121951,Adelie,Torgersen,male
35.7,189.0,3350.0,2.1,Adelie,Torgersen,female
41.1,189.0,3325.0,2.2096774193548385,Adelie,Torgersen,male
36.2,187.0,3150.0,2.104651162790698,Adelie,Torgersen,female
37.7,198.0,3500.0,1.9040404040404042,Adelie,Torgersen,male
40.2,176.0,3450.0,2.364705882352941,Adelie,Torgersen,female
41.4,202.0,3875.0,2.2378378378378376,Adelie,Torgersen,male
35.2,186.0,3050.0,2.2138364779874213,Adelie,Torgersen,female
40.6,199.0,4000.0,2.136842105263158,Adelie,Torgersen,male
38.8,191.0,3275.0,2.204545454545454,Adelie,Torgersen,female
41.5,195.0,4300.0,2.26775956284153,Adelie,Torgersen,male
39.0,191.0,3050.0,2.280701754385965,Adelie,Torgersen,female
44.1,210.0,4000.0,2.45,Adelie,Torgersen,male
38.5,190.0,3325.0,2.1508379888268156,Adelie,Torgersen,female
43.1,197.0,3500.0,2.244791666666667,Adelie,Torgersen,male
36.8,193.0,3500.0,1.989189189189189,Adelie,Dream,female
37.5,199.0,4475.0,2.027027027027027,Adelie,Dream,male
38.1,187.0,3425.0,2.164772727272727,Adelie,Dream,female
41.1,190.0,3900.0,2.3485714285714288,Adelie,Dream,male
35.6,191.0,3175.0,2.0342857142857143,Adelie,Dream,female
40.2,200.0,3975.0,2.0,Adelie,Dream,male
37.0,185.0,3400.0,2.242424242424242,Adelie,Dream,female
39.7,193.0,4250.0,2.217877094972067,Adelie,Dream,male
40.2,193.0,3400.0,2.350877192982456,Adelie,Dream,female
40.6,187.0,3475.0,2.36046511627907,Adelie,Dream,male
32.1,188.0,3050.0,2.070967741935484,Adelie,Dream,female
40.7,190.0,3725.0,2.394117647058824,Adelie,Dream,male
37.3,192.0,3000.0,2.220238095238095,Adelie,Dream,female
39.0,185.0,3650.0,2.085561497326203,Adelie,Dream,male
39.2,190.0,4250.0,2.10752688172043,Adelie,Dream,male
36.6,184.0,3475.0,1.9891304347826089,Adelie,Dream,female
36.0,195.0,3450.0,2.0224719101123596,Adelie,Dream,female
37.8,193.0,3750.0,2.0883977900552484,Adelie,Dream,male
36.0,187.0,3700.0,2.1052631578947367,Adelie,Dream,female
41.5,201.0,4000.0,2.2432432432432434,Adelie,Dream,male
46.1,211.0,4500.0,3.4924242424242427,Gentoo,Biscoe,female
50.0,230.0,5700.0,3.067484662576687,Gentoo,Biscoe,male
48.7,210.0,4450.0,3.4539007092198584,Gentoo,Biscoe,female
50.0,218.0,5700.0,3.2894736842105265,Gentoo,Biscoe,male
47.6,215.0,5400.0,3.282758620689655,Gentoo,Biscoe,male
46.5,210.0,4550.0,3.4444444444444446,Gentoo,Biscoe,female
45.4,211.0,4800.0,3.1095890410958904,Gentoo,Biscoe,female
46.7,219.0,5200.0,3.0522875816993467,Gentoo,Biscoe,male
43.3,209.0,4400.0,3.231343283582089,Gentoo,Biscoe,female
46.8,215.0,5150.0,3.038961038961039,Gentoo,Biscoe,male
40.9,214.0,4650.0,2.985401459854015,Gentoo,Biscoe,female
49.0,216.0,5550.0,3.043478260869565,Gentoo,Biscoe,male
45.5,214.0,4650.0,3.321167883211679,Gentoo,Biscoe,female
48.4,213.0,5850.0,3.315068493150685,Gentoo,Biscoe,male
45.8,210.0,4200.0,3.136986301369863,Gentoo,Biscoe,female
49.3,217.0,5850.0,3.140127388535032,Gentoo,Biscoe,male
42.0,210.0,4150.0,3.111111111111111,Gentoo,Biscoe,female
49.2,221.0,6300.0,3.2368421052631584,Gentoo,Biscoe,male
46.2,209.0,4800.0,3.1862068965517243,Gentoo,Biscoe,female
48.7,222.0,5350.0,3.2251655629139075,Gentoo,Biscoe,male
50.2,218.0,5700.0,3.5104895104895104,Gentoo,Biscoe,male
45.1,215.0,5000.0,3.110344827586207,Gentoo,Biscoe,female
46.5,213.0,4400.0,3.206896551724138,Gentoo,Biscoe,female
46.3,215.0,5050.0,2.9303797468354427,Gentoo,Biscoe,male
42.9,215.0,5000.0,3.2748091603053435,Gentoo,Biscoe,female
46.1,215.0,5100.0,3.0529801324503314,Gentoo,Biscoe,male
47.8,215.0,5650.0,3.1866666666666665,Gentoo,Biscoe,male
48.2,210.0,4600.0,3.370629370629371,Gentoo,Biscoe,female
50.0,220.0,5550.0,3.2679738562091503,Gentoo,Biscoe,male
47.3,222.0,5250.0,3.091503267973856,Gentoo,Biscoe,male
42.8,209.0,4700.0,3.0140845070422535,Gentoo,Biscoe,female
45.1,207.0,5050.0,3.110344827586207,Gentoo,Biscoe,female
59.6,230.0,6050.0,3.5058823529411764,Gentoo,Biscoe,male
49.1,220.0,5150.0,3.3175675675675675,Gentoo,Biscoe,female
48.4,220.0,5400.0,2.969325153374233,Gentoo,Biscoe,male
42.6,213.0,4950.0,3.109489051094891,Gentoo,Biscoe,female
44.4,219.0,5250.0,2.566473988439306,Gentoo,Biscoe,male
44.0,208.0,4350.0,3.235294117647059,Gentoo,Biscoe,female
48.7,208.0,5350.0,3.101910828025478,Gentoo,Biscoe,male
42.7,208.0,3950.0,3.1167883211678835,Gentoo,Biscoe,female
49.6,225.0,5700.0,3.1,Gentoo,Biscoe,male
45.3,210.0,4300.0,3.3065693430656933,Gentoo,Biscoe,female
49.6,216.0,4750.0,3.3066666666666666,Gentoo,Biscoe,male
50.5,222.0,5550.0,3.1761006289308176,Gentoo,Biscoe,male
43.6,217.0,4900.0,3.1366906474820144,Gentoo,Biscoe,female
45.5,210.0,4200.0,3.273381294964029,Gentoo,Biscoe,female
50.5,225.0,5400.0,3.1761006289308176,Gentoo,Biscoe,male
44.9,213.0,5100.0,3.37593984962406,Gentoo,Biscoe,female
45.2,215.0,5300.0,2.8607594936708862,Gentoo,Biscoe,male
46.6,210.0,4850.0,3.2816901408450705,Gentoo,Biscoe,female
48.5,220.0,5300.0,3.4397163120567376,Gentoo,Biscoe,male
45.1,210.0,4400.0,3.1319444444444446,Gentoo,Biscoe,female
50.1,225.0,5000.0,3.3400000000000003,Gentoo,Biscoe,male
46.5,217.0,4900.0,3.2291666666666665,Gentoo,Biscoe,female
45.0,220.0,5050.0,2.922077922077922,Gentoo,Biscoe,male
43.8,208.0,4300.0,3.151079136690647,Gentoo,Biscoe,female
45.5,220.0,5000.0,3.033333333333333,Gentoo,Biscoe,male
43.2,208.0,4450.0,2.9793103448275864,Gentoo,Biscoe,female
50.4,224.0,5550.0,3.2941176470588234,Gentoo,Biscoe,male
45.3,208.0,4200.0,3.2826086956521734,Gentoo,Biscoe,female
46.2,221.0,5300.0,3.1006711409395975,Gentoo,Biscoe,male
45.7,214.0,4400.0,3.287769784172662,Gentoo,Biscoe,female
54.3,231.0,5650.0,3.4585987261146496,Gentoo,Biscoe,male
45.8,219.0,4700.0,3.2253521126760565,Gentoo,Biscoe,female
49.8,230.0,5700.0,2.964285714285714,Gentoo,Biscoe,male
49.5,229.0,5800.0,3.055555555555556,Gentoo,Biscoe,male
43.5,220.0,4700.0,3.063380281690141,Gentoo,Biscoe,female
50.7,223.0,5550.0,3.3800000000000003,Gentoo,Biscoe,male
47.7,216.0,4750.0,3.18,Gentoo,Biscoe,female
46.4,221.0,5000.0,2.9743589743589745,Gentoo,Biscoe,male
48.2,221.0,5100.0,3.08974358974359,Gentoo,Biscoe,male
46.5,217.0,5200.0,3.1418918918918917,Gentoo,Biscoe,female
46.4,216.0,4700.0,3.0933333333333333,Gentoo,Biscoe,female
48.6,230.0,5800.0,3.0375,Gentoo,Biscoe,male
47.5,209.0,4600.0,3.3450704225352115,Gentoo,Biscoe,female
51.1,220.0,6000.0,3.1349693251533743,Gentoo,Biscoe,male
45.2,215.0,4750.0,3.2753623188405796,Gentoo,Biscoe,female
45.2,223.0,5950.0,2.75609756097561,Gentoo,Biscoe,male
49.1,212.0,4625.0,3.386206896551724,Gentoo,Biscoe,female
52.5,221.0,5450.0,3.3653846153846154,Gentoo,Biscoe,male
47.4,212.0,4725.0,3.2465753424657535,Gentoo,Biscoe,female
50.0,224.0,5350.0,3.144654088050314,Gentoo,Biscoe,male
44.9,212.0,4750.0,3.253623188405797,Gentoo,Biscoe,female
50.8,228.0,5600.0,2.936416184971098,Gentoo,Biscoe,male
43.4,218.0,4600.0,3.013888888888889,Gentoo,Biscoe,female
51.3,218.0,5300.0,3.612676056338028,Gentoo,Biscoe,male
47.5,212.0,4875.0,3.392857142857143,Gentoo,Biscoe,female
52.1,230.0,5550.0,3.0647058823529414,Gentoo,Biscoe,male
47.5,218.0,4950.0,3.1666666666666665,Gentoo,Biscoe,female
52.2,228.0,5400.0,3.052631578947368,Gentoo,Biscoe,male
45.5,212.0,4750.0,3.1379310344827585,Gentoo,Biscoe,female
49.5,224.0,5650.0,3.074534161490683,Gentoo,Biscoe,male
44.5,214.0,4850.0,3.0272108843537415,Gentoo,Biscoe,female
50.8,226.0,5200.0,3.2356687898089174,Gentoo,Biscoe,male
49.4,216.0,4925.0,3.1265822784810124,Gentoo,Biscoe,male
46.9,222.0,4875.0,3.212328767123288,Gentoo,Biscoe,female
48.4,203.0,4625.0,3.3611111111111107,Gentoo,Biscoe,female
51.1,225.0,5250.0,3.096969696969697,Gentoo,Biscoe,male
48.5,219.0,4850.0,3.2333333333333334,Gentoo,Biscoe,female
55.9,228.0,5600.0,3.288235294117647,Gentoo,Biscoe,male
47.2,215.0,4975.0,3.045161290322581,Gentoo,Biscoe,female
49.1,228.0,5500.0,3.2733333333333334,Gentoo,Biscoe,male
46.8,215.0,5500.0,2.9068322981366457,Gentoo,Biscoe,male
41.7,210.0,4700.0,2.8367346938775513,Gentoo,Biscoe,female
53.4,219.0,5500.0,3.3797468354430378,Gentoo,Biscoe,male
43.3,208.0,4575.0,3.0928571428571425,Gentoo,Biscoe,female
48.1,209.0,5500.0,3.185430463576159,Gentoo,Biscoe,male
50.5,216.0,5000.0,3.322368421052632,Gentoo,Biscoe,female
49.8,229.0,5950.0,3.132075471698113,Gentoo,Biscoe,male
43.5,213.0,4650.0,2.861842105263158,Gentoo,Biscoe,female
51.5,230.0,5500.0,3.1595092024539877,Gentoo,Biscoe,male
46.2,217.0,4375.0,3.276595744680851,Gentoo,Biscoe,female
55.1,230.0,5850.0,3.44375,Gentoo,Biscoe,male
48.8,222.0,6000.0,3.0123456790123457,Gentoo,Biscoe,male
47.2,214.0,4925.0,3.445255474452555,Gentoo,Biscoe,female
46.8,215.0,4850.0,3.2727272727272725,Gentoo,Biscoe,female
50.4,222.0,5750.0,3.210191082802548,Gentoo,Biscoe,male
45.2,212.0,5200.0,3.054054054054054,Gentoo,Biscoe,female
49.9,213.0,5400.0,3.0993788819875774,Gentoo,Biscoe,male
46.5,192.0,3500.0,2.597765363128492,Chinstrap,Dream,female
50.0,196.0,3900.0,2.5641025641025643,Chinstrap,Dream,male
51.3,193.0,3650.0,2.671875,Chinstrap,Dream,male
45.4,188.0,3525.0,2.427807486631016,Chinstrap,Dream,female
52.7,197.0,3725.0,2.6616161616161618,Chinstrap,Dream,male
45.2,198.0,3950.0,2.539325842696629,Chinstrap,Dream,female
46.1,178.0,3250.0,2.5329670329670333,Chinstrap,Dream,female
51.3,197.0,3750.0,2.8186813186813184,Chinstrap,Dream,male
46.0,195.0,4150.0,2.433862433862434,Chinstrap,Dream,female
51.3,198.0,3700.0,2.577889447236181,Chinstrap,Dream,male
46.6,193.0,3800.0,2.6179775280898876,Chinstrap,Dream,female
51.7,194.0,3775.0,2.5467980295566504,Chinstrap,Dream,male
47.0,185.0,3700.0,2.7167630057803467,Chinstrap,Dream,female
52.0,201.0,4050.0,2.87292817679558,Chinstrap,Dream,male
45.9,190.0,3575.0,2.6842105263157894,Chinstrap,Dream,female
50.5,201.0,4050.0,2.576530612244898,Chinstrap,Dream,male
50.3,197.0,3300.0,2.5149999999999997,Chinstrap,Dream,male
58.0,181.0,3700.0,3.258426966292135,Chinstrap,Dream,female
46.4,190.0,3450.0,2.494623655913978,Chinstrap,Dream,female
49.2,195.0,4400.0,2.7032967032967035,Chinstrap,Dream,male
42.4,181.0,3600.0,2.450867052023121,Chinstrap,Dream,female
48.5,191.0,3400.0,2.7714285714285714,Chinstrap,Dream,male
43.2,187.0,2900.0,2.602409638554217,Chinstrap,Dream,female
50.6,193.0,3800.0,2.6082474226804124,Chinstrap,Dream,male
46.7,195.0,3300.0,2.608938547486034,Chinstrap,Dream,female
52.0,197.0,4150.0,2.736842105263158,Chinstrap,Dream,male
50.5,200.0,3400.0,2.7445652173913047,Chinstrap,Dream,female
49.5,200.0,3800.0,2.6052631578947367,Chinstrap,Dream,male
46.4,191.0,3700.0,2.6067415730337076,Chinstrap,Dream,female
52.8,205.0,4550.0,2.6399999999999997,Chinstrap,Dream,male
40.9,187.0,3200.0,2.4638554216867465,Chinstrap,Dream,female
54.2,201.0,4300.0,2.605769230769231,Chinstrap,Dream,male
42.5,187.0,3350.0,2.5449101796407185,Chinstrap,Dream,female
51.0,203.0,4100.0,2.7127659574468086,Chinstrap,Dream,male
49.7,195.0,3600.0,2.672043010752688,Chinstrap,Dream,male
47.5,199.0,3900.0,2.827380952380952,Chinstrap,Dream,female
47.6,195.0,3850.0,2.601092896174863,Chinstrap,Dream,female
52.0,210.0,4800.0,2.5120772946859904,Chinstrap,Dream,male
46.9,192.0,2700.0,2.8253012048192767,Chinstrap,Dream,female
53.5,205.0,4500.0,2.6884422110552766,Chinstrap,Dream,male
49.0,210.0,3950.0,2.5128205128205128,Chinstrap,Dream,male
46.2,187.0,3650.0,2.64,Chinstrap,Dream,female
50.9,196.0,3550.0,2.664921465968586,Chinstrap,Dream,male
45.5,196.0,3500.0,2.676470588235294,Chinstrap,Dream,female
50.9,196.0,3675.0,2.8435754189944134,Chinstrap,Dream,female
50.8,201.0,4450.0,2.745945945945946,Chinstrap,Dream,male
50.1,190.0,3400.0,2.7988826815642462,Chinstrap,Dream,female
49.0,212.0,4300.0,2.5,Chinstrap,Dream,male
51.5,187.0,3250.0,2.7540106951871657,Chinstrap,Dream,male
49.8,198.0,3675.0,2.8786127167630053,Chinstrap,Dream,female
48.1,199.0,3325.0,2.932926829268293,Chinstrap,Dream,female
51.4,201.0,3950.0,2.705263157894737,Chinstrap,Dream,male
45.7,193.0,3600.0,2.6416184971098264,Chinstrap,Dream,female
50.7,203.0,4050.0,2.5736040609137056,Chinstrap,Dream,male
42.5,187.0,3350.0,2.4566473988439306,Chinstrap,Dream,female
52.2,197.0,3450.0,2.776595744680851,Chinstrap,Dream,male
45.2,191.0,3250.0,2.7228915662650603,Chinstrap,Dream,female
49.3,203.0,4050.0,2.477386934673367,Chinstrap,Dream,male
50.2,202.0,3800.0,2.670212765957447,Chinstrap,Dream,male
45.6,194.0,3525.0,2.350515463917526,Chinstrap,Dream,female
51.9,206.0,3950.0,2.6615384615384614,Chinstrap,Dream,male
46.8,189.0,3650.0,2.836363636363636,Chinstrap,Dream,female
45.7,195.0,3650.0,2.6882352941176473,Chinstrap,Dream,female
55.8,207.0,4000.0,2.818181818181818,Chinstrap,Dream,male
43.5,202.0,3400.0,2.4033149171270716,Chinstrap,Dream,female
49.6,193.0,3775.0,2.7252747252747254,Chinstrap,Dream,male
50.8,210.0,4100.0,2.6736842105263157,Chinstrap,Dream,male
50.2,198.0,3775.0,2.6844919786096257,Chinstrap,Dream,female
